i,q,p_L
70,1.6,0.5024407210632859
70,1.65,0.4985171305651804
70,1.7,0.49357384004229565
70,1.75,0.48871538058565756
70,1.8,0.4835730629231101
70,1.85,0.47950170164036515
70,1.9,0.4746687817055335
70,1.95,0.47025534777351313
70,2.0,0.46443254898207115
70,2.05,0.4599178026966473
70,2.1,0.456108962059029
70,2.15,0.45098066732532294
70,2.2,0.4466701609439771
70,2.25,0.4420646524442846
70,2.3,0.437615039525722
70,2.35,0.4335607362124739
70,2.4,0.4296489825758737
70,2.45,0.42531447717339044
70,2.5,0.4225017090392173
70,2.55,0.41735193803955706
70,2.6,0.41391922695495714
70,2.65,0.40997362030982243
70,2.7,0.40742831482399133
70,2.75,0.40362021115505237
70,2.8,0.4000879601019859
70,2.85,0.39633463665870283
70,2.9,0.39456947960844324
70,2.95,0.39017992044534805
75,0.0,0.5651623762374528
75,0.05,0.5643154645614199
75,0.1,0.5634907416748184
75,0.15,0.5628675700513381
75,0.2,0.5623354938082634
75,0.25,0.5615879950126246
75,0.3,0.5607220701427099
75,0.35,0.5601031979547483
75,0.4,0.5583625195595373
75,0.45,0.5565629754645725
75,0.5,0.5564147699910021
75,0.55,0.5550083242830621
75,0.6,0.5520228936154895
75,0.65,0.5511747268687172
75,0.7,0.5493150413173071
75,0.75,0.5469136242815701
75,0.8,0.5457737212172796
75,0.85,0.5430994310456153
75,0.9,0.5418178722273334
75,0.95,0.5396861188765888
75,1.0,0.5344514260850188
75,1.05,0.5318598916545658
75,1.1,0.5297206577341262
75,1.15,0.526966067148574
75,1.2,0.5238054317765523
75,1.25,0.519858896265502
75,1.3,0.5166936632779483
75,1.35,0.5129323825709493
75,1.4,0.5092800140695052
75,1.45,0.5049867709700959
75,1.5,0.5009775749989948
75,1.55,0.4967829804653851
75,1.6,0.4914170397726707
75,1.65,0.4864769766941759
75,1.7,0.48122599123236365
75,1.75,0.476790175019311
75,1.8,0.4720002730288546
75,1.85,0.46678704538119575
75,1.9,0.46199801928151096
75,1.95,0.45689299393178195
75,2.0,0.45087167404403683
75,2.05,0.446907057242945
75,2.1,0.4415281653072565
75,2.15,0.4371921466781232
75,2.2,0.4318388315508076
75,2.25,0.428213138405249
75,2.3,0.4238439396147708
75,2.35,0.41896958991830874
75,2.4,0.4155942236376024
75,2.45,0.4120541116714712
75,2.5,0.4087338990526881
75,2.55,0.40430299786807244
75,2.6,0.40090456116946066
75,2.65,0.39762770802483016
75,2.7,0.39601889936210366
75,2.75,0.38997862159284796
75,2.8,0.38787530210089965
75,2.85,0.3831336065164761
75,2.9,0.38067523702383965
75,2.95,0.37769985742258194
80,0.0,0.5589813941603009
80,0.05,0.5586406135546249
80,0.1,0.5578951927909243
80,0.15,0.5572469402021973
80,0.2,0.5573111089721904
80,0.25,0.5554560339306709
80,0.3,0.5549832832605462
80,0.35,0.5534872071268435
80,0.4,0.5530205989329728
80,0.45,0.5516710295876249
80,0.5,0.5503703964434957
80,0.55,0.549306789889781
80,0.6,0.5459866222757362
80,0.65,0.5441906851495842
80,0.7,0.5431450210830342
80,0.75,0.5405918076780337
80,0.8,0.5385111274229644
80,0.85,0.5360119363651548
80,0.9,0.5345191362006803
80,0.95,0.5328754297389683
80,1.0,0.5267389626778893
80,1.05,0.5250435935512281
80,1.1,0.5220895606395585
80,1.15,0.518475348150399
80,1.2,0.5154815048913022
80,1.25,0.5120223323089976
80,1.3,0.5081178768983892
80,1.35,0.5031861899648552
80,1.4,0.4996715735784193
80,1.45,0.4950792953907607
80,1.5,0.49016833100549295
80,1.55,0.48611769480431305
80,1.6,0.4801405691011354
80,1.65,0.475171952781961
80,1.7,0.4704518565189799
80,1.75,0.46450029289837635
80,1.8,0.4597340297845555
80,1.85,0.45439374555705986
80,1.9,0.44887108773002843
80,1.95,0.444297529616844
80,2.0,0.4378720231326616
80,2.05,0.43373176137065633
80,2.1,0.4293451077995022
80,2.15,0.4252320936798416
80,2.2,0.4202040860465912
80,2.25,0.4151416462174603
80,2.3,0.4114949608377708
80,2.35,0.40711367197011167
80,2.4,0.4033315658235761
80,2.45,0.39959971464989363
80,2.5,0.3957827309280576
80,2.55,0.3924184349109386
80,2.6,0.38761806511522234
80,2.65,0.3848346371065346
80,2.7,0.38297831409397454
80,2.75,0.37883890030681566
80,2.8,0.37573579672197577
80,2.85,0.37252620333715997
80,2.9,0.369242129372321
80,2.95,0.3659471799894008
85,0.0,0.5525838062165291
85,0.05,0.5519062339675339
85,0.1,0.5510905073321712
85,0.15,0.550010075280244
85,0.2,0.5495034838339972
85,0.25,0.5486387676651814
85,0.3,0.5471149811535563
85,0.35,0.5462412841393023
85,0.4,0.5455454886465283
85,0.45,0.5438721826105934
85,0.5,0.5424925856441595
85,0.55,0.5411362176191252
85,0.6,0.5384853298004051
85,0.65,0.5368538020997582
85,0.7,0.5344485555193678
85,0.75,0.5323557702893958
85,0.8,0.5309773922482123
85,0.85,0.5285830618622015
85,0.9,0.5268348496870678
85,0.95,0.5243881912944304
85,1.0,0.5173418703236099
85,1.05,0.5157022740149969
85,1.1,0.512944275857446
